dataset	kind_bio2rdf	uri_bio2rdf	uri_sio	rel
pharmgkb	cls	http://bio2rdf.org/pharmgkb_vocabulary:Gene	http://semanticscience.org/resource/SIO_010035	=
pharmgkb	cls	http://bio2rdf.org/pharmgkb_vocabulary:Drug	http://semanticscience.org/resource/SIO_010038	=
sgd	cls	http://bio2rdf.org/sgd_vocabulary:Protein	http://semanticscience.org/resource/SIO_010043	=
sgd	cls	http://bio2rdf.org/sgd_vocabulary:Pathway	http://semanticscience.org/resource/SIO_001107	=
sgd	cls	http://bio2rdf.org/sgd_vocabulary:Enzyme	http://semanticscience.org/resource/SIO_010343	=
sider	cls	http://bio2rdf.org/sider_vocabulary:Drug	http://semanticscience.org/resource/SIO_010038	=
wormbase	cls	http://bio2rdf.org/wormbase_vocabulary:Gene	http://semanticscience.org/resource/SIO_010035	=
ncbigene	cls	http://bio2rdf.org/ncbigene_vocabulary:Gene	http://semanticscience.org/resource/SIO_010035	=
wormbase	cls	http://bio2rdf.org/wormbase_vocabulary:Publication	http://semanticscience.org/resource/SIO_000176	=
orphanet	cls	http://bio2rdf.org/orphanet_vocabulary:Disorder	http://semanticscience.org/resource/SIO_010299	=
hgnc	cls	http://bio2rdf.org/hgnc_vocabulary:Gene-Symbol	http://semanticscience.org/resource/SIO_010035	=
affymetrix	bip	http://www.w3.org/1999/02/22-rdf-syntax-ns#type	http://www.w3.org/1999/02/22-rdf-syntax-ns#type	=
affymetrix	bip	http://www.w3.org/2000/01/rdf-schema#label	http://www.w3.org/2000/01/rdf-schema#label	=
affymetrix	bip	http://purl.org/dc/terms/title	http://purl.org/dc/terms/title	=
clinicaltrials	bip	http://purl.org/dc/terms/description	http://purl.org/dc/terms/description	=
clinicaltrials	bip	http://www.w3.org/1999/02/22-rdf-syntax-ns#type	http://www.w3.org/1999/02/22-rdf-syntax-ns#type	=
clinicaltrials	bip	http://purl.org/dc/terms/title	http://purl.org/dc/terms/title	=
clinicaltrials	bip	http://www.w3.org/2000/01/rdf-schema#label	http://www.w3.org/2000/01/rdf-schema#label	=
ctd	bip	http://purl.org/dc/terms/description	http://purl.org/dc/terms/description	=
ctd	bip	http://www.w3.org/1999/02/22-rdf-syntax-ns#type	http://www.w3.org/1999/02/22-rdf-syntax-ns#type	=
ctd	bip	http://www.w3.org/2000/01/rdf-schema#label	http://www.w3.org/2000/01/rdf-schema#label	=
ctd	bip	http://purl.org/dc/terms/title	http://purl.org/dc/terms/title	=
dbsnp	bip	http://www.w3.org/1999/02/22-rdf-syntax-ns#type	http://www.w3.org/1999/02/22-rdf-syntax-ns#type	=
dbsnp	bip	http://purl.org/dc/terms/title	http://purl.org/dc/terms/title	=
dbsnp	bip	http://www.w3.org/2000/01/rdf-schema#label	http://www.w3.org/2000/01/rdf-schema#label	=
drugbank	bip	http://purl.org/dc/terms/description	http://purl.org/dc/terms/description	=
drugbank	bip	http://www.w3.org/2000/01/rdf-schema#seeAlso	http://www.w3.org/2000/01/rdf-schema#seeAlso	=
drugbank	bip	http://purl.org/dc/terms/title	http://purl.org/dc/terms/title	=
drugbank	bip	http://www.w3.org/2000/01/rdf-schema#label	http://www.w3.org/2000/01/rdf-schema#label	=
drugbank	bip	http://www.w3.org/1999/02/22-rdf-syntax-ns#type	http://www.w3.org/1999/02/22-rdf-syntax-ns#type	=
drugbank	bip	http://www.w3.org/2002/07/owl#sameAs	http://www.w3.org/2002/07/owl#sameAs	=
genage	bip	http://purl.org/dc/terms/title	http://purl.org/dc/terms/title	=
genage	bip	http://www.w3.org/2000/01/rdf-schema#label	http://www.w3.org/2000/01/rdf-schema#label	=
genage	bip	http://www.w3.org/1999/02/22-rdf-syntax-ns#type	http://www.w3.org/1999/02/22-rdf-syntax-ns#type	=
gendr	bip	http://purl.org/dc/terms/title	http://purl.org/dc/terms/title	=
gendr	bip	http://www.w3.org/2000/01/rdf-schema#label	http://www.w3.org/2000/01/rdf-schema#label	=
gendr	bip	http://www.w3.org/1999/02/22-rdf-syntax-ns#type	http://www.w3.org/1999/02/22-rdf-syntax-ns#type	=
goa	bip	http://purl.org/dc/terms/title	http://purl.org/dc/terms/title	=
goa	bip	http://www.w3.org/2000/01/rdf-schema#label	http://www.w3.org/2000/01/rdf-schema#label	=
goa	bip	http://www.w3.org/1999/02/22-rdf-syntax-ns#type	http://www.w3.org/1999/02/22-rdf-syntax-ns#type	=
hgnc	bip	http://www.w3.org/1999/02/22-rdf-syntax-ns#type	http://www.w3.org/1999/02/22-rdf-syntax-ns#type	=
hgnc	bip	http://purl.org/dc/terms/title	http://purl.org/dc/terms/title	=
hgnc	bip	http://www.w3.org/2000/01/rdf-schema#label	http://www.w3.org/2000/01/rdf-schema#label	=
homologene	bip	http://www.w3.org/2000/01/rdf-schema#label	http://www.w3.org/2000/01/rdf-schema#label	=
homologene	bip	http://purl.org/dc/terms/title	http://purl.org/dc/terms/title	=
homologene	bip	http://www.w3.org/1999/02/22-rdf-syntax-ns#type	http://www.w3.org/1999/02/22-rdf-syntax-ns#type	=
interpro	bip	http://purl.org/dc/terms/description	http://purl.org/dc/terms/description	=
interpro	bip	http://www.w3.org/2000/01/rdf-schema#label	http://www.w3.org/2000/01/rdf-schema#label	=
interpro	bip	http://www.w3.org/1999/02/22-rdf-syntax-ns#type	http://www.w3.org/1999/02/22-rdf-syntax-ns#type	=
interpro	bip	http://purl.org/dc/terms/title	http://purl.org/dc/terms/title	=
irefindex	bip	http://purl.org/dc/terms/title	http://purl.org/dc/terms/title	=
irefindex	bip	http://www.w3.org/1999/02/22-rdf-syntax-ns#type	http://www.w3.org/1999/02/22-rdf-syntax-ns#type	=
irefindex	bip	http://www.w3.org/2000/01/rdf-schema#label	http://www.w3.org/2000/01/rdf-schema#label	=
irefindex	bip	http://www.w3.org/2000/01/rdf-schema#seeAlso	http://www.w3.org/2000/01/rdf-schema#seeAlso	=
kegg	bip	http://purl.org/dc/terms/title	http://purl.org/dc/terms/title	=
kegg	bip	http://www.w3.org/2000/01/rdf-schema#seeAlso	http://www.w3.org/2000/01/rdf-schema#seeAlso	=
kegg	bip	http://www.w3.org/2002/07/owl#sameAs	http://www.w3.org/2002/07/owl#sameAs	=
kegg	bip	http://purl.org/dc/terms/description	http://purl.org/dc/terms/description	=
kegg	bip	http://www.w3.org/1999/02/22-rdf-syntax-ns#type	http://www.w3.org/1999/02/22-rdf-syntax-ns#type	=
kegg	bip	http://www.w3.org/2000/01/rdf-schema#label	http://www.w3.org/2000/01/rdf-schema#label	=
mesh	bip	http://www.w3.org/2000/01/rdf-schema#label	http://www.w3.org/2000/01/rdf-schema#label	=
mesh	bip	http://www.w3.org/1999/02/22-rdf-syntax-ns#type	http://www.w3.org/1999/02/22-rdf-syntax-ns#type	=
mesh	bip	http://purl.org/dc/terms/title	http://purl.org/dc/terms/title	=
mgi	bip	http://purl.org/dc/terms/title	http://purl.org/dc/terms/title	=
mgi	bip	http://www.w3.org/1999/02/22-rdf-syntax-ns#type	http://www.w3.org/1999/02/22-rdf-syntax-ns#type	=
mgi	bip	http://www.w3.org/2000/01/rdf-schema#label	http://www.w3.org/2000/01/rdf-schema#label	=
ncbigene	bip	http://purl.org/dc/terms/description	http://purl.org/dc/terms/description	=
ncbigene	bip	http://www.w3.org/2000/01/rdf-schema#label	http://www.w3.org/2000/01/rdf-schema#label	=
ncbigene	bip	http://purl.org/dc/terms/title	http://purl.org/dc/terms/title	=
ncbigene	bip	http://www.w3.org/1999/02/22-rdf-syntax-ns#type	http://www.w3.org/1999/02/22-rdf-syntax-ns#type	=
ndc	bip	http://www.w3.org/2000/01/rdf-schema#label	http://www.w3.org/2000/01/rdf-schema#label	=
ndc	bip	http://www.w3.org/1999/02/22-rdf-syntax-ns#type	http://www.w3.org/1999/02/22-rdf-syntax-ns#type	=
ndc	bip	http://purl.org/dc/terms/title	http://purl.org/dc/terms/title	=
omim	bip	http://purl.org/dc/terms/title	http://purl.org/dc/terms/title	=
omim	bip	http://purl.org/dc/terms/description	http://purl.org/dc/terms/description	=
omim	bip	http://www.w3.org/2002/07/owl#sameAs	http://www.w3.org/2002/07/owl#sameAs	=
omim	bip	http://www.w3.org/1999/02/22-rdf-syntax-ns#type	http://www.w3.org/1999/02/22-rdf-syntax-ns#type	=
omim	bip	http://www.w3.org/2000/01/rdf-schema#seeAlso	http://www.w3.org/2000/01/rdf-schema#seeAlso	=
omim	bip	http://www.w3.org/2000/01/rdf-schema#label	http://www.w3.org/2000/01/rdf-schema#label	=
orphanet	bip	http://www.w3.org/2000/01/rdf-schema#label	http://www.w3.org/2000/01/rdf-schema#label	=
orphanet	bip	http://purl.org/dc/terms/title	http://purl.org/dc/terms/title	=
orphanet	bip	http://www.w3.org/1999/02/22-rdf-syntax-ns#type	http://www.w3.org/1999/02/22-rdf-syntax-ns#type	=
pharmgkb	bip	http://www.w3.org/2000/01/rdf-schema#label	http://www.w3.org/2000/01/rdf-schema#label	=
pharmgkb	bip	http://www.w3.org/1999/02/22-rdf-syntax-ns#type	http://www.w3.org/1999/02/22-rdf-syntax-ns#type	=
pharmgkb	bip	http://purl.org/dc/terms/title	http://purl.org/dc/terms/title	=
pharmgkb	bip	http://www.w3.org/2000/01/rdf-schema#seeAlso	http://www.w3.org/2000/01/rdf-schema#seeAlso	=
pharmgkb	bip	http://www.w3.org/2002/07/owl#sameAs	http://www.w3.org/2002/07/owl#sameAs	=
sgd	bip	http://purl.org/dc/terms/description	http://purl.org/dc/terms/description	=
sgd	bip	http://purl.org/dc/terms/title	http://purl.org/dc/terms/title	=
sgd	bip	http://www.w3.org/2000/01/rdf-schema#label	http://www.w3.org/2000/01/rdf-schema#label	=
sgd	bip	http://www.w3.org/2002/07/owl#sameAs	http://www.w3.org/2002/07/owl#sameAs	=
sgd	bip	http://www.w3.org/1999/02/22-rdf-syntax-ns#type	http://www.w3.org/1999/02/22-rdf-syntax-ns#type	=
sider	bip	http://purl.org/dc/terms/title	http://purl.org/dc/terms/title	=
sider	bip	http://www.w3.org/2000/01/rdf-schema#label	http://www.w3.org/2000/01/rdf-schema#label	=
sider	bip	http://www.w3.org/1999/02/22-rdf-syntax-ns#type	http://www.w3.org/1999/02/22-rdf-syntax-ns#type	=
taxonomy	bip	http://www.w3.org/2000/01/rdf-schema#seeAlso	http://www.w3.org/2000/01/rdf-schema#seeAlso	=
taxonomy	bip	http://www.w3.org/2000/01/rdf-schema#label	http://www.w3.org/2000/01/rdf-schema#label	=
taxonomy	bip	http://purl.org/dc/terms/title	http://purl.org/dc/terms/title	=
taxonomy	bip	http://www.w3.org/1999/02/22-rdf-syntax-ns#type	http://www.w3.org/1999/02/22-rdf-syntax-ns#type	=
wormbase	bip	http://purl.org/dc/terms/title	http://purl.org/dc/terms/title	=
wormbase	bip	http://www.w3.org/1999/02/22-rdf-syntax-ns#type	http://www.w3.org/1999/02/22-rdf-syntax-ns#type	=
wormbase	bip	http://www.w3.org/2000/01/rdf-schema#label	http://www.w3.org/2000/01/rdf-schema#label	=
ctd	op	http://bio2rdf.org/ctd_vocabulary:has-function	http://semanticscience.org/resource/SIO_000225	=
ctd	op	http://bio2rdf.org/ctd_vocabulary:is-located-in	http://semanticscience.org/resource/SIO_000061	=
ctd	op	http://bio2rdf.org/ctd_vocabulary:is-participant-in	http://semanticscience.org/resource/SIO_000062	=
sgd	op	http://bio2rdf.org/sgd_vocabulary:is-participant-in	http://semanticscience.org/resource/SIO_000062	=
sgd	op	http://bio2rdf.org/sgd_vocabulary:is-located-in	http://semanticscience.org/resource/SIO_000061	=
sgd	op	http://bio2rdf.org/sgd_vocabulary:has-function	http://semanticscience.org/resource/SIO_000225	=
affymetrix	op	http://bio2rdf.org/affymetrix_vocabulary:x-sgd	http://semanticscience.org/resource/SIO_000628	<
affymetrix	op	http://bio2rdf.org/affymetrix_vocabulary:x-ec	http://semanticscience.org/resource/SIO_000628	<
affymetrix	op	http://bio2rdf.org/affymetrix_vocabulary:x-hgnc.symbol	http://semanticscience.org/resource/SIO_000628	<
affymetrix	op	http://bio2rdf.org/affymetrix_vocabulary:x-ncbigene	http://semanticscience.org/resource/SIO_000628	<
affymetrix	op	http://bio2rdf.org/affymetrix_vocabulary:x-tair	http://semanticscience.org/resource/SIO_000628	<
affymetrix	op	http://bio2rdf.org/affymetrix_vocabulary:x-unigene	http://semanticscience.org/resource/SIO_000628	<
affymetrix	op	http://bio2rdf.org/affymetrix_vocabulary:x-mgi	http://semanticscience.org/resource/SIO_000628	<
affymetrix	op	http://bio2rdf.org/affymetrix_vocabulary:x-ensembl	http://semanticscience.org/resource/SIO_000628	<
affymetrix	op	http://bio2rdf.org/affymetrix_vocabulary:x-interpro	http://semanticscience.org/resource/SIO_000628	<
affymetrix	op	http://bio2rdf.org/affymetrix_vocabulary:x-wormbase	http://semanticscience.org/resource/SIO_000628	<
affymetrix	op	http://bio2rdf.org/affymetrix_vocabulary:x-rgd	http://semanticscience.org/resource/SIO_000628	<
affymetrix	op	http://bio2rdf.org/affymetrix_vocabulary:x-omim	http://semanticscience.org/resource/SIO_000628	<
affymetrix	op	http://bio2rdf.org/affymetrix_vocabulary:x-refseq	http://semanticscience.org/resource/SIO_000628	<
affymetrix	op	http://bio2rdf.org/affymetrix_vocabulary:x-uniprot	http://semanticscience.org/resource/SIO_000628	<
affymetrix	op	http://bio2rdf.org/affymetrix_vocabulary:x-flybase	http://semanticscience.org/resource/SIO_000628	<
ctd	op	http://bio2rdf.org/ctd_vocabulary:x-pharmgkb	http://semanticscience.org/resource/SIO_000628	<
ctd	op	http://bio2rdf.org/ctd_vocabulary:x-cas	http://semanticscience.org/resource/SIO_000628	<
ctd	op	http://bio2rdf.org/ctd_vocabulary:x-uniprot	http://semanticscience.org/resource/SIO_000628	<
ctd	op	http://bio2rdf.org/ctd_vocabulary:x-biogrid	http://semanticscience.org/resource/SIO_000628	<
drugbank	op	http://bio2rdf.org/drugbank_vocabulary:x-pubchemsubstance	http://semanticscience.org/resource/SIO_000628	<
drugbank	op	http://bio2rdf.org/drugbank_vocabulary:x-pharmgkb	http://semanticscience.org/resource/SIO_000628	<
drugbank	op	http://bio2rdf.org/drugbank_vocabulary:x-chemspider	http://semanticscience.org/resource/SIO_000628	<
drugbank	op	http://bio2rdf.org/drugbank_vocabulary:x-gtp	http://semanticscience.org/resource/SIO_000628	<
drugbank	op	http://bio2rdf.org/drugbank_vocabulary:x-taxonomy	http://semanticscience.org/resource/SIO_000628	<
drugbank	op	http://bio2rdf.org/drugbank_vocabulary:x-pdb	http://semanticscience.org/resource/SIO_000628	<
drugbank	op	http://bio2rdf.org/drugbank_vocabulary:x-dpd	http://semanticscience.org/resource/SIO_000628	<
drugbank	op	http://bio2rdf.org/drugbank_vocabulary:x-kegg	http://semanticscience.org/resource/SIO_000628	<
drugbank	op	http://bio2rdf.org/drugbank_vocabulary:x-genecards	http://semanticscience.org/resource/SIO_000628	<
drugbank	op	http://bio2rdf.org/drugbank_vocabulary:x-bindingdb	http://semanticscience.org/resource/SIO_000628	<
drugbank	op	http://bio2rdf.org/drugbank_vocabulary:x-cas	http://semanticscience.org/resource/SIO_000628	<
drugbank	op	http://bio2rdf.org/drugbank_vocabulary:x-genatlas	http://semanticscience.org/resource/SIO_000628	<
drugbank	op	http://bio2rdf.org/drugbank_vocabulary:x-pubchemcompound	http://semanticscience.org/resource/SIO_000628	<
drugbank	op	http://bio2rdf.org/drugbank_vocabulary:x-ahfs	http://semanticscience.org/resource/SIO_000628	<
drugbank	op	http://bio2rdf.org/drugbank_vocabulary:x-wikipedia	http://semanticscience.org/resource/SIO_000628	<
drugbank	op	http://bio2rdf.org/drugbank_vocabulary:x-chebi	http://semanticscience.org/resource/SIO_000628	<
drugbank	op	http://bio2rdf.org/drugbank_vocabulary:x-ndc	http://semanticscience.org/resource/SIO_000628	<
drugbank	op	http://bio2rdf.org/drugbank_vocabulary:x-atc	http://semanticscience.org/resource/SIO_000628	<
drugbank	op	http://bio2rdf.org/drugbank_vocabulary:x-hgnc	http://semanticscience.org/resource/SIO_000628	<
drugbank	op	http://bio2rdf.org/drugbank_vocabulary:x-gi	http://semanticscience.org/resource/SIO_000628	<
drugbank	op	http://bio2rdf.org/drugbank_vocabulary:x-inchikey	http://semanticscience.org/resource/SIO_000628	<
drugbank	op	http://bio2rdf.org/drugbank_vocabulary:x-iuphar	http://semanticscience.org/resource/SIO_000628	<
drugbank	op	http://bio2rdf.org/drugbank_vocabulary:x-uniprot	http://semanticscience.org/resource/SIO_000628	<
drugbank	op	http://bio2rdf.org/drugbank_vocabulary:x-pfam	http://semanticscience.org/resource/SIO_000628	<
drugbank	op	http://bio2rdf.org/drugbank_vocabulary:x-genbank	http://semanticscience.org/resource/SIO_000628	<
genage	op	http://bio2rdf.org/genage_vocabulary:x-uniprot	http://semanticscience.org/resource/SIO_000628	<
genage	op	http://bio2rdf.org/genage_vocabulary:x-unigene	http://semanticscience.org/resource/SIO_000628	<
genage	op	http://bio2rdf.org/genage_vocabulary:x-ncbigene	http://semanticscience.org/resource/SIO_000628	<
gendr	op	http://bio2rdf.org/gendr_vocabulary:x-ncbigene	http://semanticscience.org/resource/SIO_000628	<
goa	op	http://bio2rdf.org/goa_vocabulary:x-taxonomy	http://semanticscience.org/resource/SIO_000628	<
hgnc	op	http://bio2rdf.org/hgnc_vocabulary:x-mgi	http://semanticscience.org/resource/SIO_000628	<
hgnc	op	http://bio2rdf.org/hgnc_vocabulary:x-rgd	http://semanticscience.org/resource/SIO_000628	<
hgnc	op	http://bio2rdf.org/hgnc_vocabulary:x-ncbigene	http://semanticscience.org/resource/SIO_000628	<
hgnc	op	http://bio2rdf.org/hgnc_vocabulary:x-omim	http://semanticscience.org/resource/SIO_000628	<
hgnc	op	http://bio2rdf.org/hgnc_vocabulary:x-ccds	http://semanticscience.org/resource/SIO_000628	<
hgnc	op	http://bio2rdf.org/hgnc_vocabulary:x-ensembl	http://semanticscience.org/resource/SIO_000628	<
hgnc	op	http://bio2rdf.org/hgnc_vocabulary:x-pubmed	http://semanticscience.org/resource/SIO_000628	<
hgnc	op	http://bio2rdf.org/hgnc_vocabulary:x-ucsc	http://semanticscience.org/resource/SIO_000628	<
hgnc	op	http://bio2rdf.org/hgnc_vocabulary:x-refseq	http://semanticscience.org/resource/SIO_000628	<
hgnc	op	http://bio2rdf.org/hgnc_vocabulary:x-vega	http://semanticscience.org/resource/SIO_000628	<
hgnc	op	http://bio2rdf.org/hgnc_vocabulary:x-uniprot	http://semanticscience.org/resource/SIO_000628	<
hgnc	dtp	http://bio2rdf.org/hgnc_vocabulary:x-ec	http://semanticscience.org/resource/SIO_000628	<
homologene	op	http://bio2rdf.org/homologene_vocabulary:x-taxid	http://semanticscience.org/resource/SIO_000628	<
homologene	op	http://bio2rdf.org/homologene_vocabulary:x-refseq	http://semanticscience.org/resource/SIO_000628	<
homologene	op	http://bio2rdf.org/homologene_vocabulary:x-ncbigene	http://semanticscience.org/resource/SIO_000628	<
homologene	op	http://bio2rdf.org/homologene_vocabulary:x-gi	http://semanticscience.org/resource/SIO_000628	<
interpro	op	http://bio2rdf.org/interpro_vocabulary:x-scop	http://semanticscience.org/resource/SIO_000628	<
interpro	op	http://bio2rdf.org/interpro_vocabulary:x-pandit	http://semanticscience.org/resource/SIO_000628	<
interpro	op	http://bio2rdf.org/interpro_vocabulary:x-ec	http://semanticscience.org/resource/SIO_000628	<
interpro	op	http://bio2rdf.org/interpro_vocabulary:x-pdb	http://semanticscience.org/resource/SIO_000628	<
interpro	op	http://bio2rdf.org/interpro_vocabulary:x-come	http://semanticscience.org/resource/SIO_000628	<
interpro	op	http://bio2rdf.org/interpro_vocabulary:x-cazy	http://semanticscience.org/resource/SIO_000628	<
interpro	op	http://bio2rdf.org/interpro_vocabulary:x-pubmed	http://semanticscience.org/resource/SIO_000628	<
interpro	op	http://bio2rdf.org/interpro_vocabulary:x-blocks	http://semanticscience.org/resource/SIO_000628	<
interpro	op	http://bio2rdf.org/interpro_vocabulary:x-cath	http://semanticscience.org/resource/SIO_000628	<
interpro	op	http://bio2rdf.org/interpro_vocabulary:x-msdsite	http://semanticscience.org/resource/SIO_000628	<
interpro	op	http://bio2rdf.org/interpro_vocabulary:x-merops	http://semanticscience.org/resource/SIO_000628	<
interpro	op	http://bio2rdf.org/interpro_vocabulary:x-metacyc	http://semanticscience.org/resource/SIO_000628	<
interpro	op	http://bio2rdf.org/interpro_vocabulary:x-kegg	http://semanticscience.org/resource/SIO_000628	<
interpro	op	http://bio2rdf.org/interpro_vocabulary:x-iuphar	http://semanticscience.org/resource/SIO_000628	<
interpro	op	http://bio2rdf.org/interpro_vocabulary:x-priam	http://semanticscience.org/resource/SIO_000628	<
interpro	op	http://bio2rdf.org/interpro_vocabulary:x-prositedoc	http://semanticscience.org/resource/SIO_000628	<
irefindex	op	http://bio2rdf.org/irefindex_vocabulary:x-taxonomy	http://semanticscience.org/resource/SIO_000628	<
kegg	op	http://bio2rdf.org/kegg_vocabulary:x-jcggdb	http://semanticscience.org/resource/SIO_000628	<
kegg	op	http://bio2rdf.org/kegg_vocabulary:x-medlineplus	http://semanticscience.org/resource/SIO_000628	<
kegg	op	http://bio2rdf.org/kegg_vocabulary:x-cazy	http://semanticscience.org/resource/SIO_000628	<
kegg	op	http://bio2rdf.org/kegg_vocabulary:x-vega	http://semanticscience.org/resource/SIO_000628	<
kegg	op	http://bio2rdf.org/kegg_vocabulary:x-umbbd	http://semanticscience.org/resource/SIO_000628	<
kegg	op	http://bio2rdf.org/kegg_vocabulary:x-lipidmaps	http://semanticscience.org/resource/SIO_000628	<
kegg	op	http://bio2rdf.org/kegg_vocabulary:x-chebi	http://semanticscience.org/resource/SIO_000628	<
kegg	op	http://bio2rdf.org/kegg_vocabulary:x-icdo	http://semanticscience.org/resource/SIO_000628	<
kegg	op	http://bio2rdf.org/kegg_vocabulary:x-knapsack	http://semanticscience.org/resource/SIO_000628	<
kegg	op	http://bio2rdf.org/kegg_vocabulary:x-drugbank	http://semanticscience.org/resource/SIO_000628	<
kegg	op	http://bio2rdf.org/kegg_vocabulary:x-hgnc	http://semanticscience.org/resource/SIO_000628	<
kegg	op	http://bio2rdf.org/kegg_vocabulary:x-3dmet	http://semanticscience.org/resource/SIO_000628	<
kegg	op	http://bio2rdf.org/kegg_vocabulary:x-glycomedb	http://semanticscience.org/resource/SIO_000628	<
kegg	op	http://bio2rdf.org/kegg_vocabulary:x-kegg	http://semanticscience.org/resource/SIO_000628	<
kegg	op	http://bio2rdf.org/kegg_vocabulary:x-hprd	http://semanticscience.org/resource/SIO_000628	<
kegg	op	http://bio2rdf.org/kegg_vocabulary:x-tc	http://semanticscience.org/resource/SIO_000628	<
kegg	op	http://bio2rdf.org/kegg_vocabulary:x-dailymed	http://semanticscience.org/resource/SIO_000628	<
kegg	op	http://bio2rdf.org/kegg_vocabulary:x-icd10	http://semanticscience.org/resource/SIO_000628	<
kegg	op	http://bio2rdf.org/kegg_vocabulary:x-pfam	http://semanticscience.org/resource/SIO_000628	<
kegg	op	http://bio2rdf.org/kegg_vocabulary:x-ec	http://semanticscience.org/resource/SIO_000628	<
kegg	op	http://bio2rdf.org/kegg_vocabulary:x-gi	http://semanticscience.org/resource/SIO_000628	<
kegg	op	http://bio2rdf.org/kegg_vocabulary:x-lipidbank	http://semanticscience.org/resource/SIO_000628	<
kegg	op	http://bio2rdf.org/kegg_vocabulary:x-mesh	http://semanticscience.org/resource/SIO_000628	<
kegg	op	http://bio2rdf.org/kegg_vocabulary:x-ensembl	http://semanticscience.org/resource/SIO_000628	<
kegg	op	http://bio2rdf.org/kegg_vocabulary:x-mwsh	http://semanticscience.org/resource/SIO_000628	<
kegg	op	http://bio2rdf.org/kegg_vocabulary:x-omim	http://semanticscience.org/resource/SIO_000628	<
kegg	op	http://bio2rdf.org/kegg_vocabulary:x-mirbase	http://semanticscience.org/resource/SIO_000628	<
kegg	op	http://bio2rdf.org/kegg_vocabulary:x-uniprot	http://semanticscience.org/resource/SIO_000628	<
kegg	op	http://bio2rdf.org/kegg_vocabulary:x-ccsd	http://semanticscience.org/resource/SIO_000628	<
kegg	op	http://bio2rdf.org/kegg_vocabulary:x-pdb	http://semanticscience.org/resource/SIO_000628	<
kegg	op	http://bio2rdf.org/kegg_vocabulary:x-ligandbox	http://semanticscience.org/resource/SIO_000628	<
kegg	op	http://bio2rdf.org/kegg_vocabulary:x-bsid	http://semanticscience.org/resource/SIO_000628	<
kegg	op	http://bio2rdf.org/kegg_vocabulary:x-go	http://semanticscience.org/resource/SIO_000628	<
kegg	op	http://bio2rdf.org/kegg_vocabulary:x-pubchem.compound	http://semanticscience.org/resource/SIO_000628	<
kegg	op	http://bio2rdf.org/kegg_vocabulary:x-imgt	http://semanticscience.org/resource/SIO_000628	<
kegg	op	http://bio2rdf.org/kegg_vocabulary:x-ccd	http://semanticscience.org/resource/SIO_000628	<
kegg	op	http://bio2rdf.org/kegg_vocabulary:x-pubmed	http://semanticscience.org/resource/SIO_000628	<
